"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101097200000","Quicksilver Resources, Inc.","Davey  10","Oil","P&A - Approved","Toole","Kevin-Sunburst","35N-2W","3",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-09720-00-00","7/31/2006 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/2006 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/2006 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/2006 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/2006 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/2006 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/2006 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/2005 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/29/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/2004 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/2003 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/2002 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/2001 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/29/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/2000 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/1999 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/1998 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","9/30/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","8/31/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","7/31/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","6/30/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","5/31/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","4/30/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","3/31/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","2/28/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","1/31/1997 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","12/31/1996 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","11/30/1996 12:00:00 AM","Sunburst","2279","0","0","0","0",
"25-101-09720-00-00","10/31/1996 12:00:00 AM","Sunburst","2279","0","0","0","0",
