"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25085050810000","Ballard Petroleum Holdings LLC","EPU  31","Oil","P&A - Approved","Roosevelt","Poplar, East","29N-51E","30",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-085-05081-00-00","12/31/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","11/30/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","10/31/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","9/30/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","8/31/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","7/31/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","6/30/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","5/31/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","4/30/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","3/31/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","2/29/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","1/31/2004 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","12/31/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","11/30/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","10/31/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","9/30/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","8/31/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","7/31/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","6/30/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","5/31/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","4/30/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","3/31/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","2/28/2003 12:00:00 AM","Madison","605","0","0","0","0",
"25-085-05081-00-00","1/31/2003 12:00:00 AM","Madison","605","0","0","0","0",
