API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-23479-00-00,1/31/2019 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,12/31/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,11/30/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,10/31/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,9/30/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,8/31/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,7/31/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,6/30/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,5/31/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,4/30/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,3/31/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,2/28/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,1/31/2018 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,12/31/2017 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,11/30/2017 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,10/31/2017 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,9/30/2017 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,8/31/2017 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,7/31/2017 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,6/30/2017 12:00:00 AM,Eagle,7845,0,0,0,0
25-041-23479-00-00,5/31/2017 12:00:00 AM,Eagle,7845,0,15,0,10
25-041-23479-00-00,4/30/2017 12:00:00 AM,Eagle,7845,0,16,0,10
25-041-23479-00-00,3/31/2017 12:00:00 AM,Eagle,7845,0,17,0,10
25-041-23479-00-00,2/28/2017 12:00:00 AM,Eagle,7845,0,11,0,7
25-041-23479-00-00,1/31/2017 12:00:00 AM,Eagle,7845,0,11,0,7
25-041-23479-00-00,12/31/2016 12:00:00 AM,Eagle,7845,0,11,0,8
