"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25003216890000","Fidelity Exploration & Production Co.","Decker 2890  32M","Coal Bed Methane","P&A - Approved","Big Horn","CX","9S-40E","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-003-21689-00-00","2/28/2015 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","1/31/2015 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","12/31/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","11/30/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","10/31/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","9/30/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","8/31/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","7/31/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","6/30/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","5/31/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","4/30/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","3/31/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","2/28/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","1/31/2014 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","12/31/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","11/30/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","10/31/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","9/30/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","8/31/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","7/31/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","6/30/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","5/31/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","4/30/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","3/31/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","2/28/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","1/31/2013 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","12/31/2012 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","11/30/2012 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","10/31/2012 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","9/30/2012 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","8/31/2012 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","7/31/2012 12:00:00 AM","Monarch","6663","0","0","0","0",
"25-003-21689-00-00","6/30/2012 12:00:00 AM","Monarch","6663","0","54","0","30",
"25-003-21689-00-00","5/31/2012 12:00:00 AM","Monarch","6663","0","123","0","31",
"25-003-21689-00-00","4/30/2012 12:00:00 AM","Monarch","6663","0","137","0","30",
"25-003-21689-00-00","3/31/2012 12:00:00 AM","Monarch","6663","0","117","0","31",
"25-003-21689-00-00","2/29/2012 12:00:00 AM","Monarch","6663","0","111","0","29",
"25-003-21689-00-00","1/31/2012 12:00:00 AM","Monarch","6663","0","125","0","31",
"25-003-21689-00-00","12/31/2011 12:00:00 AM","Monarch","6663","0","120","0","31",
"25-003-21689-00-00","11/30/2011 12:00:00 AM","Monarch","6663","0","136","0","30",
