"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25009054080000","Amoco Production Company","EBF 21","Oil","P&A - Approved","Carbon","Elk Basin","9S-23E","35",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-009-05408-00-00","12/31/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","11/30/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","9/30/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","8/31/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","7/31/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","6/30/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","5/31/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","4/30/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","3/31/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","2/28/1998 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","2/28/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","1/31/1998 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","1/31/1998 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","12/31/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","12/31/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","11/30/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","11/30/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","10/31/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","10/31/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","9/30/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","9/30/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","8/31/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","8/31/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","7/31/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","7/31/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","6/30/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","6/30/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","5/31/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","5/31/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","4/30/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","4/30/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","3/31/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","3/31/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","2/28/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","2/28/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","1/31/1997 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","1/31/1997 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","12/31/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","12/31/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","11/30/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","11/30/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","10/31/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","10/31/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","9/30/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","9/30/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","8/31/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","8/31/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","7/31/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","7/31/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","6/30/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","6/30/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","5/31/1996 12:00:00 AM","Frontier","6044","0","0","0","0",
"25-009-05408-00-00","5/31/1996 12:00:00 AM","Madison","6044","0","0","0","0",
"25-009-05408-00-00","4/30/1996 12:00:00 AM","Madison","6044","0","0","0","0",
