API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-23683-00-00,7/31/2025 12:00:00 AM,Swift,4897,0,29,0,31
25-101-23683-00-00,6/30/2025 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,5/31/2025 12:00:00 AM,Swift,4897,0,28,0,31
25-101-23683-00-00,4/30/2025 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,3/31/2025 12:00:00 AM,Swift,4897,0,27,0,31
25-101-23683-00-00,2/28/2025 12:00:00 AM,Swift,4897,0,25,0,28
25-101-23683-00-00,1/31/2025 12:00:00 AM,Swift,4897,0,29,0,31
25-101-23683-00-00,12/31/2024 12:00:00 AM,Swift,4897,0,28,0,31
25-101-23683-00-00,11/30/2024 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,10/31/2024 12:00:00 AM,Swift,4897,0,27,0,31
25-101-23683-00-00,9/30/2024 12:00:00 AM,Swift,4897,0,28,0,30
25-101-23683-00-00,8/31/2024 12:00:00 AM,Swift,4897,0,27,0,31
25-101-23683-00-00,7/31/2024 12:00:00 AM,Swift,4897,0,29,0,31
25-101-23683-00-00,6/30/2024 12:00:00 AM,Swift,4897,0,28,0,30
25-101-23683-00-00,5/31/2024 12:00:00 AM,Swift,4897,0,28,0,31
25-101-23683-00-00,4/30/2024 12:00:00 AM,Swift,4897,0,31,0,30
25-101-23683-00-00,3/31/2024 12:00:00 AM,Swift,4897,0,29,0,30
25-101-23683-00-00,2/29/2024 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,1/31/2024 12:00:00 AM,Swift,4897,0,29,0,30
25-101-23683-00-00,12/31/2023 12:00:00 AM,Swift,4897,0,28,0,30
25-101-23683-00-00,11/30/2023 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,10/31/2023 12:00:00 AM,Swift,4897,0,29,0,30
25-101-23683-00-00,9/30/2023 12:00:00 AM,Swift,4897,0,30,0,30
25-101-23683-00-00,8/31/2023 12:00:00 AM,Swift,4897,0,28,0,30
25-101-23683-00-00,7/31/2023 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,6/30/2023 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,5/31/2023 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,4/30/2023 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,3/31/2023 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,2/28/2023 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,1/31/2023 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,12/31/2022 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,11/30/2022 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,10/31/2022 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,9/30/2022 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,8/31/2022 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,7/31/2022 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,6/30/2022 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,5/31/2022 12:00:00 AM,Swift,4897,0,28,0,30
25-101-23683-00-00,4/30/2022 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,3/31/2022 12:00:00 AM,Swift,4897,0,36,0,30
25-101-23683-00-00,2/28/2022 12:00:00 AM,Swift,4897,0,29,0,30
25-101-23683-00-00,1/31/2022 12:00:00 AM,Swift,4897,0,50,0,30
25-101-23683-00-00,12/31/2021 12:00:00 AM,Swift,4897,0,55,0,30
25-101-23683-00-00,11/30/2021 12:00:00 AM,Swift,4897,0,45,0,30
25-101-23683-00-00,10/31/2021 12:00:00 AM,Swift,4897,0,49,0,30
25-101-23683-00-00,8/31/2021 12:00:00 AM,Swift,4897,0,50,0,30
25-101-23683-00-00,7/31/2021 12:00:00 AM,Swift,4897,0,50,0,30
25-101-23683-00-00,6/30/2021 12:00:00 AM,Swift,4897,0,50,0,30
25-101-23683-00-00,5/31/2021 12:00:00 AM,Swift,4897,0,44,0,30
25-101-23683-00-00,4/30/2021 12:00:00 AM,Swift,4897,0,46,0,30
25-101-23683-00-00,3/31/2021 12:00:00 AM,Swift,4897,0,57,0,30
25-101-23683-00-00,2/28/2021 12:00:00 AM,Swift,4897,0,18,0,30
25-101-23683-00-00,1/31/2021 12:00:00 AM,Swift,4897,0,15,0,30
25-101-23683-00-00,12/31/2020 12:00:00 AM,Swift,4897,0,20,0,30
25-101-23683-00-00,11/30/2020 12:00:00 AM,Swift,4897,0,19,0,30
25-101-23683-00-00,10/31/2020 12:00:00 AM,Swift,4897,0,13,0,30
25-101-23683-00-00,9/30/2020 12:00:00 AM,Swift,4897,0,32,0,30
25-101-23683-00-00,8/31/2020 12:00:00 AM,Swift,4897,0,28,0,30
25-101-23683-00-00,7/31/2020 12:00:00 AM,Swift,4897,0,30,0,30
25-101-23683-00-00,6/30/2020 12:00:00 AM,Swift,4897,0,22,0,30
25-101-23683-00-00,5/31/2020 12:00:00 AM,Swift,4897,0,32,0,30
25-101-23683-00-00,4/30/2020 12:00:00 AM,Swift,4897,0,31,0,30
25-101-23683-00-00,3/31/2020 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,2/29/2020 12:00:00 AM,Swift,4897,0,21,0,30
25-101-23683-00-00,1/31/2020 12:00:00 AM,Swift,4897,0,21,0,30
25-101-23683-00-00,12/31/2019 12:00:00 AM,Swift,4897,0,19,0,30
25-101-23683-00-00,11/30/2019 12:00:00 AM,Swift,4897,0,19,0,30
25-101-23683-00-00,10/31/2019 12:00:00 AM,Swift,4897,0,17,0,30
25-101-23683-00-00,9/30/2019 12:00:00 AM,Swift,4897,0,12,0,30
25-101-23683-00-00,8/31/2019 12:00:00 AM,Swift,4897,0,10,0,30
25-101-23683-00-00,7/31/2019 12:00:00 AM,Swift,4897,0,15,0,30
25-101-23683-00-00,6/30/2019 12:00:00 AM,Swift,4897,0,14,0,30
25-101-23683-00-00,5/31/2019 12:00:00 AM,Swift,4897,0,9,0,30
25-101-23683-00-00,4/30/2019 12:00:00 AM,Swift,4897,0,24,0,30
25-101-23683-00-00,3/31/2019 12:00:00 AM,Swift,4897,0,29,0,30
25-101-23683-00-00,2/28/2019 12:00:00 AM,Swift,4897,0,0,0,30
25-101-23683-00-00,1/31/2019 12:00:00 AM,Swift,4897,0,30,0,30
25-101-23683-00-00,12/31/2018 12:00:00 AM,Swift,4897,0,32,0,30
25-101-23683-00-00,11/30/2018 12:00:00 AM,Swift,4897,0,29,0,30
25-101-23683-00-00,10/31/2018 12:00:00 AM,Swift,4897,0,31,0,30
25-101-23683-00-00,9/30/2018 12:00:00 AM,Swift,4897,0,31,0,30
25-101-23683-00-00,8/31/2018 12:00:00 AM,Swift,4897,0,32,0,30
25-101-23683-00-00,7/31/2018 12:00:00 AM,Swift,4897,0,31,0,30
25-101-23683-00-00,6/30/2018 12:00:00 AM,Swift,4897,0,29,0,30
25-101-23683-00-00,5/31/2018 12:00:00 AM,Swift,4897,0,31,0,30
25-101-23683-00-00,4/30/2018 12:00:00 AM,Swift,4897,0,0,0,30
25-101-23683-00-00,3/31/2018 12:00:00 AM,Swift,4897,0,15,0,30
25-101-23683-00-00,2/28/2018 12:00:00 AM,Swift,4897,0,18,0,30
25-101-23683-00-00,1/31/2018 12:00:00 AM,Swift,4897,0,35,0,30
25-101-23683-00-00,12/31/2017 12:00:00 AM,Swift,4897,0,30,0,30
25-101-23683-00-00,11/30/2017 12:00:00 AM,Swift,4897,0,24,0,30
25-101-23683-00-00,10/31/2017 12:00:00 AM,Swift,4897,0,25,0,30
25-101-23683-00-00,9/30/2017 12:00:00 AM,Swift,4897,0,25,0,30
25-101-23683-00-00,8/31/2017 12:00:00 AM,Swift,4897,0,24,0,30
25-101-23683-00-00,7/31/2017 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,6/30/2017 12:00:00 AM,Swift,4897,0,25,0,30
25-101-23683-00-00,5/31/2017 12:00:00 AM,Swift,4897,0,27,0,30
25-101-23683-00-00,4/30/2017 12:00:00 AM,Swift,4897,0,26,0,30
25-101-23683-00-00,3/31/2017 12:00:00 AM,Swift,4897,0,23,0,30
25-101-23683-00-00,2/28/2017 12:00:00 AM,Swift,4897,0,13,0,30
25-101-23683-00-00,1/31/2017 12:00:00 AM,Swift,4897,0,24,0,30
25-101-23683-00-00,12/31/2016 12:00:00 AM,Swift,4897,0,23,0,30
25-101-23683-00-00,11/30/2016 12:00:00 AM,Swift,4897,0,24,0,30
