API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-22895-00-00,11/30/2020 12:00:00 AM,Belle Fourche,7657,0,6,0,4
25-003-22895-00-00,10/31/2020 12:00:00 AM,Belle Fourche,7657,0,29,0,27
25-003-22895-00-00,9/30/2020 12:00:00 AM,Belle Fourche,7657,0,19,0,14
25-003-22895-00-00,8/31/2020 12:00:00 AM,Belle Fourche,7657,0,30,0,29
25-003-22895-00-00,7/31/2020 12:00:00 AM,Belle Fourche,7657,0,19,0,14
25-003-22895-00-00,6/30/2020 12:00:00 AM,Belle Fourche,7657,0,0,0,0
25-003-22895-00-00,5/31/2020 12:00:00 AM,Belle Fourche,7657,0,34,0,29
25-003-22895-00-00,4/30/2020 12:00:00 AM,Belle Fourche,7657,0,29,0,25
25-003-22895-00-00,3/31/2020 12:00:00 AM,Belle Fourche,7657,0,45,0,31
25-003-22895-00-00,2/29/2020 12:00:00 AM,Belle Fourche,7657,0,42,0,29
25-003-22895-00-00,1/31/2020 12:00:00 AM,Belle Fourche,7657,0,40,0,27
25-003-22895-00-00,12/31/2019 12:00:00 AM,Belle Fourche,7657,0,47,0,31
25-003-22895-00-00,11/30/2019 12:00:00 AM,Belle Fourche,7657,0,43,0,27
25-003-22895-00-00,10/31/2019 12:00:00 AM,Belle Fourche,7657,0,41,0,31
25-003-22895-00-00,9/30/2019 12:00:00 AM,Belle Fourche,7657,0,22,0,13
25-003-22895-00-00,8/31/2019 12:00:00 AM,Belle Fourche,7657,0,22,0,13
25-003-22895-00-00,7/31/2019 12:00:00 AM,Belle Fourche,7657,0,24,0,16
25-003-22895-00-00,6/30/2019 12:00:00 AM,Belle Fourche,7657,0,22,0,13
25-003-22895-00-00,5/31/2019 12:00:00 AM,Belle Fourche,7657,0,21,0,13
25-003-22895-00-00,4/30/2019 12:00:00 AM,Belle Fourche,7657,0,39,0,28
25-003-22895-00-00,3/31/2019 12:00:00 AM,Belle Fourche,7657,0,27,0,12
25-003-22895-00-00,2/28/2019 12:00:00 AM,Belle Fourche,7657,0,30,0,25
25-003-22895-00-00,1/31/2019 12:00:00 AM,Belle Fourche,7657,0,53,0,31
25-003-22895-00-00,12/31/2018 12:00:00 AM,Belle Fourche,7657,0,54,0,31
25-003-22895-00-00,11/30/2018 12:00:00 AM,Belle Fourche,7657,0,53,0,30
25-003-22895-00-00,10/31/2018 12:00:00 AM,Belle Fourche,7657,0,26,0,15
25-003-22895-00-00,9/30/2018 12:00:00 AM,Belle Fourche,7657,0,24,0,14
25-003-22895-00-00,8/31/2018 12:00:00 AM,Belle Fourche,7657,0,26,0,15
25-003-22895-00-00,7/31/2018 12:00:00 AM,Belle Fourche,7657,0,28,0,16
25-003-22895-00-00,6/30/2018 12:00:00 AM,Belle Fourche,7657,0,30,0,17
25-003-22895-00-00,5/31/2018 12:00:00 AM,Belle Fourche,7657,0,29,0,16
25-003-22895-00-00,4/30/2018 12:00:00 AM,Belle Fourche,7657,0,27,0,15
25-003-22895-00-00,3/31/2018 12:00:00 AM,Belle Fourche,7657,0,55,0,30
25-003-22895-00-00,2/28/2018 12:00:00 AM,Belle Fourche,7657,0,50,0,28
25-003-22895-00-00,1/31/2018 12:00:00 AM,Belle Fourche,7657,0,59,0,30
25-003-22895-00-00,12/31/2017 12:00:00 AM,Belle Fourche,7657,0,57,0,29
25-003-22895-00-00,11/30/2017 12:00:00 AM,Belle Fourche,7657,0,61,0,30
25-003-22895-00-00,10/31/2017 12:00:00 AM,Belle Fourche,7657,0,34,0,17
25-003-22895-00-00,9/30/2017 12:00:00 AM,Belle Fourche,7657,0,31,0,14
25-003-22895-00-00,8/31/2017 12:00:00 AM,Belle Fourche,7657,0,47,0,30
25-003-22895-00-00,7/31/2017 12:00:00 AM,Belle Fourche,7657,0,46,0,30
25-003-22895-00-00,6/30/2017 12:00:00 AM,Belle Fourche,7657,0,34,0,17
25-003-22895-00-00,5/31/2017 12:00:00 AM,Belle Fourche,7657,0,32,0,16
25-003-22895-00-00,4/30/2017 12:00:00 AM,Belle Fourche,7657,0,41,0,24
25-003-22895-00-00,3/31/2017 12:00:00 AM,Belle Fourche,7657,0,64,0,31
25-003-22895-00-00,2/28/2017 12:00:00 AM,Belle Fourche,7657,0,59,0,28
25-003-22895-00-00,1/31/2017 12:00:00 AM,Belle Fourche,7657,0,63,0,31
25-003-22895-00-00,12/31/2016 12:00:00 AM,Belle Fourche,7657,0,68,0,30
25-003-22895-00-00,11/30/2016 12:00:00 AM,Belle Fourche,7657,0,67,0,28
25-003-22895-00-00,10/31/2016 12:00:00 AM,Belle Fourche,7657,0,53,0,31
25-003-22895-00-00,9/30/2016 12:00:00 AM,Belle Fourche,7657,0,53,0,30
25-003-22895-00-00,8/31/2016 12:00:00 AM,Belle Fourche,7657,0,77,0,30
25-003-22895-00-00,7/31/2016 12:00:00 AM,Belle Fourche,7657,0,76,0,30
25-003-22895-00-00,6/30/2016 12:00:00 AM,Belle Fourche,7657,0,75,0,30
25-003-22895-00-00,5/31/2016 12:00:00 AM,Belle Fourche,7657,0,77,0,31
25-003-22895-00-00,4/30/2016 12:00:00 AM,Belle Fourche,7657,0,76,0,30
25-003-22895-00-00,3/31/2016 12:00:00 AM,Belle Fourche,7657,0,77,0,30
25-003-22895-00-00,2/29/2016 12:00:00 AM,Belle Fourche,7657,0,76,0,29
25-003-22895-00-00,1/31/2016 12:00:00 AM,Belle Fourche,7657,0,82,0,31
25-003-22895-00-00,12/31/2015 12:00:00 AM,Belle Fourche,7657,0,102,0,31
25-003-22895-00-00,11/30/2015 12:00:00 AM,Belle Fourche,7657,0,85,0,30
25-003-22895-00-00,10/31/2015 12:00:00 AM,Belle Fourche,7657,0,91,0,31
25-003-22895-00-00,9/30/2015 12:00:00 AM,Belle Fourche,7657,0,89,0,30
25-003-22895-00-00,8/31/2015 12:00:00 AM,Belle Fourche,7657,0,93,0,31
25-003-22895-00-00,7/31/2015 12:00:00 AM,Belle Fourche,7657,0,94,0,31
25-003-22895-00-00,6/30/2015 12:00:00 AM,Belle Fourche,7657,0,87,0,30
