"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083213080000","XTO Energy Inc.","Cundiff  1-28","Oil","P&A - Approved","Richland","Putnam","23N-57E","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-21308-00-00","6/30/2015 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","5/31/2015 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","4/30/2015 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","3/31/2015 12:00:00 AM","Duperow","3229","0","9","0","1",
"25-083-21308-00-00","2/28/2015 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","1/31/2015 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","12/31/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","11/30/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","10/31/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","9/30/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","8/31/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","7/31/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","6/30/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","5/31/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","4/30/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","3/31/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","2/28/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","1/31/2014 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","12/31/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","11/30/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","10/31/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","9/30/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","8/31/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","7/31/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","6/30/2013 12:00:00 AM","Duperow","3229","4","0","0","0",
"25-083-21308-00-00","5/31/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","4/30/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","3/31/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","2/28/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","1/31/2013 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","12/31/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","11/30/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","10/31/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","9/30/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","8/31/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","7/31/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","6/30/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","5/31/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","4/30/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","3/31/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","2/29/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","1/31/2012 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","12/31/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","11/30/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","10/31/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","9/30/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","8/31/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","7/31/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","6/30/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","5/31/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","4/30/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","3/31/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","2/28/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","1/31/2011 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","12/31/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","11/30/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","10/31/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","9/30/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","8/31/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","7/31/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","6/30/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","5/31/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","4/30/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","3/31/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
"25-083-21308-00-00","2/28/2010 12:00:00 AM","Duperow","3229","0","0","0","0",
